Date,Open,High,Low,Close,Volume,Adj Close
2000-12-29,30.875,31.3125,28.6875,29.0625,31702200,27.10115
2000-12-28,30.5625,31.625,30.375,31.0625,25053600,28.966176
2000-12-27,30.375,31.0625,29.375,30.6875,26437500,28.616483
2000-12-26,31.50,32.1875,30.00,30.9375,20589500,28.849612
2000-12-22,30.375,31.984381,30.00,31.875,35568200,29.723842
2000-12-21,27.8125,30.25,27.3125,29.50,46719700,27.509125
2000-12-20,28.0625,29.8125,27.50,28.50,54440500,26.576612
2000-12-19,31.8125,33.125,30.125,30.625,58653700,28.558201
2000-12-18,30.00,32.4375,29.9375,32.00,61640100,29.840406
2000-12-15,29.4375,30.078119,28.1875,28.5625,120004000,26.634894
2000-12-14,29.25,29.9375,27.25,27.50,45894400,25.644099
2000-12-13,31.9375,32.00,28.25,28.375,37933600,26.460048
2000-12-12,31.875,32.50,30.40625,30.75,26481200,28.674766
2000-12-11,30.50,32.25,30.00,31.9375,50279700,29.782124
2000-12-08,30.0625,30.625,29.25,30.0625,40052600,28.033663
2000-12-07,29.625,29.9375,28.125,28.3125,41088300,26.401766
2000-12-06,31.1875,31.625,29.3125,30.1875,42125600,28.150227
2000-12-05,29.4375,31.50,28.875,31.50,59754700,29.37415
2000-12-04,26.25,28.875,26.1875,28.1875,40710400,26.285202
2000-12-01,26.375,27.875,25.50,26.4375,48663500,24.653305
2000-11-30,21.75,27.625,21.50,26.50,84386200,24.711587
2000-11-29,23.1875,23.625,21.8125,22.875,75409600,21.331228
2000-11-28,23.50,23.8125,22.25,22.65625,43075300,21.127241
2000-11-27,25.4375,25.8125,22.875,23.125,45665200,21.564356
2000-11-24,23.3125,24.25,23.125,24.125,22443900,22.496869
2000-11-22,23.625,24.0625,22.0625,22.3125,53315300,20.80669
2000-11-21,24.8125,25.625,23.50,23.875,58647400,22.263741
2000-11-20,24.3125,25.875,24.00,24.75,89778400,23.079689
2000-11-17,26.9375,29.25,25.25,28.8125,59636000,26.868022
2000-11-16,28.75,29.8125,27.25,27.375,37986600,25.527535
2000-11-15,28.8125,29.4375,27.703119,28.875,50649700,26.926304
2000-11-14,27.375,28.50,26.50,28.375,77494300,26.460048
2000-11-13,25.125,25.875,23.50,24.75,61652800,23.079689
2000-11-10,26.4375,26.9375,24.875,25.4375,54609400,23.720792
2000-11-09,24.6875,27.375,24.0625,27.1875,67280700,25.352689
2000-11-08,27.375,27.50,24.50,24.8125,63040000,23.137971
2000-11-07,28.375,28.4375,26.50,26.5625,58951000,24.769869
2000-11-06,30.6875,31.00,27.50,27.9375,75551500,26.052074
2000-11-03,31.50,31.75,29.50,30.3125,65017500,28.266791
2000-11-02,32.4375,32.50,27.25,29.5625,149767500,27.567407
2000-11-01,32.8125,33.1875,30.375,31.375,62692100,29.257586
2000-10-31,32.625,34.75,32.50,33.00,41881000,30.772919
2000-10-30,33.75,34.125,31.375,31.625,35420300,29.490714
2000-10-27,34.50,35.1875,33.00,34.1875,34962500,31.880278
2000-10-26,34.75,35.875,30.9375,34.0625,49986600,31.763714
2000-10-25,36.50,36.625,34.00,34.375,33361600,32.055124
2000-10-24,35.00,36.5625,34.50,35.8125,36713000,33.395611
2000-10-23,35.1875,35.25,33.375,34.0625,28316300,31.763714
2000-10-20,36.125,36.50,34.9375,35.25,34073400,32.871073
2000-10-19,36.00,36.50,34.625,36.375,39321000,33.920149
2000-10-18,31.5625,35.375,30.50,33.5625,52547900,31.297458
2000-10-17,35.75,35.875,32.875,33.6875,29353900,31.414022
2000-10-16,36.5625,37.00,33.375,34.5625,36480500,32.22997
2000-10-13,31.00,35.75,31.00,35.625,38514000,33.220765
2000-10-12,63.8125,64.875,61.75,63.00,50889400,29.37415
2000-10-11,63.00,65.984383,62.00,62.25,71687200,29.024458
2000-10-10,66.0625,67.25,64.50,64.625,50948400,30.131817
2000-10-09,67.625,68.75,65.125,66.75,40304000,31.122611
2000-10-06,69.25,71.625,66.875,67.625,53378400,31.530586
2000-10-05,68.3125,69.625,66.50,68.3125,54316000,31.851137
2000-10-04,66.00,70.75,60.50,68.125,204852000,31.763714
2000-10-03,79.8125,81.609383,68.75,69.50,96827800,32.404816
2000-10-02,79.75,82.125,77.718758,78.75,46136800,36.717688
2000-09-29,81.359383,81.6875,78.25,78.75,34843000,36.717688
2000-09-28,79.50,82.1875,78.375,81.484383,42188600,37.992611
2000-09-27,80.1875,80.9375,78.00,79.875,48205600,37.242226
2000-09-26,79.3125,81.00,78.625,79.4375,39993400,37.038239
2000-09-25,81.125,82.5625,78.75,78.75,34748600,36.717688
2000-09-22,75.9375,80.75,75.50,80.734383,58729400,37.642919
2000-09-21,79.4375,80.00,75.50,78.9375,27160000,36.805111
2000-09-20,79.00,80.625,77.50,79.9375,37352200,37.271367
2000-09-19,77.4375,79.75,76.125,79.3125,53198600,36.979957
2000-09-18,78.8125,80.00,74.75,76.468758,72997800,35.654044
2000-09-15,81.125,82.875,78.00,78.3125,122939600,36.5137
2000-09-14,86.375,86.625,82.25,84.9375,64170600,39.602649
2000-09-13,77.75,82.75,76.9375,81.8125,68132400,38.145598
2000-09-12,83.00,85.3125,79.0625,79.375,49606000,37.009098
2000-09-11,86.0625,86.75,82.375,83.4375,41459600,38.903264
2000-09-08,90.8125,90.875,86.50,86.5625,34569400,40.360315
2000-09-07,90.125,91.75,89.50,91.1875,28559000,42.516751
2000-09-06,91.375,91.75,89.0625,89.25,38473000,41.613379
2000-09-05,92.375,92.8125,90.5625,91.0625,25535800,42.458469
2000-09-01,92.203117,92.9375,90.875,92.625,30417800,43.186994
2000-08-31,88.4375,91.00,88.4375,90.9375,39840000,42.400187
2000-08-30,87.6875,88.8125,87.125,88.25,27073400,41.147123
